"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 22 19:12:49 BRT 2023","Wed Feb 22 19:12:51 BRT 2023","2535","","Login Page - Como usuario do perfil Operador, desejo logar no sistema Taskit para acessar a Pagina Home","","","","Deve Logar no sistema Taskit",""
"passed","Wed Feb 22 19:12:51 BRT 2023","Wed Feb 22 19:12:52 BRT 2023","1284","","Login Page - Como usuario do perfil Operador, desejo logar no sistema Taskit para acessar a Pagina Home","","","","Não deve Logar no sistema Taskit",""
